iter	RMSE
0	35923.00755
1	29608.63706
2	26377.48593
3	24639.93149
4	23747.5383
5	23307.46336
6	23057.17271
7	22898.03506
8	22737.26865
9	22636.76579
10	22526.69797
11	22486.65952
12	22436.97273
13	22405.93015
14	22357.60195
15	22309.82225
16	22252.54218
17	22187.46303
18	22130.20106
19	22087.34299
20	22052.90711
21	22001.1191
22	21941.0759
23	21900.60939
24	21844.01092
25	21812.65373
26	21749.30745
27	21707.21082
28	21660.72046
29	21637.52173
30	21595.04032
31	21559.49398
32	21520.84917
33	21489.53038
34	21466.21907
35	21431.0653
36	21395.87108
37	21375.22035
38	21348.19783
39	21322.49712
40	21277.35924
41	21231.67262
42	21217.01021
43	21169.69392
44	21128.7217
45	21108.38352
46	21065.27567
47	21033.93228
48	21018.92491
49	21009.24693
