iter	Passed	Remaining
0	9	477
1	17	419
2	26	408
3	33	389
4	43	392
5	51	374
6	58	357
7	65	342
8	73	335
9	81	327
10	93	330
11	100	318
12	108	308
13	116	300
14	124	290
15	131	280
16	139	271
17	148	263
18	156	254
19	163	245
20	171	237
21	178	227
22	192	226
23	199	216
24	207	207
25	214	197
26	223	190
27	233	183
28	241	174
29	249	166
30	256	157
31	266	150
32	273	140
33	281	132
34	288	123
35	295	114
36	302	106
37	309	97
38	316	89
39	323	80
40	332	72
41	339	64
42	346	56
43	353	48
44	364	40
45	371	32
46	380	24
47	390	16
48	398	8
49	407	0
